job_post_url,Company_Name,Address,City,State,Zip_Code,Phone,Fax,Contact_Person,Contact_Title,Legal_Structure,Year_Established,Business_Type,Certification_Type,Sales_Service_Area,Ownership
https://www.hawaiibids.us/hawaii-contractors/contractor-6012663-HI-TECH-PLUMBING-CORP.htm,"HI-TECH PLUMBING, CORP",2108 Lauwiliwili St Ste 103c,Kapolei,Hawaii,96707-1863,808-682-5011,808-682-5012,KERRY M.HARA,President,Subchapter S Corporation,1989,,,,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5414065-HONOLULU-PAINTING-C.htm,HONOLULU PAINTING CO LIMITED,2809 Mokumoa St,Honolulu,Hawaii,96819-4402,808-839-2777,808-836-5760,Ronald H. Yanagi,President,,1946,Construction (100 %),,,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5440855-AA-ELECTRIC-LTD.htm,"AA ELECTRIC, LTD.",500 Alakawa Ste 100,Honolulu,Hawaii,96817-5702,808-841-4131,808-842-4134,RONNIE CHEUNG,BOARD CHAIRMAN,LLC,1947,"Construction (35 %),  Service (65 %)",,,"Asian Pacific American,  Other Minority Owned,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5602728-A-GREENER-PLACE.htm,A GREENER PLACE,51 Kaumana Place,Kailua,Hawaii,96734-2394,808-864-3460,808-261-3080,RITA STRAUSER,Owner,Sole Proprietorship,1990,Service (100 %),,,Woman Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5599514-HAUULA-MEDICAL-BILLIN.htm,HAUULA MEDICAL BILLING COMPANY,54-288 Kawaipuna Pl,Hauula,Hawaii,96717-9508,808-293-4129,808-293-1425,RAMONA (RIKI) RICAPORHALL,President/Owner,Sole Proprietorship,2002,Service (100 %),,,"Asian Pacific American,  Veteran,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5591382-Standard-Sheetmetal-Mechanica.htm,Standard Sheetmetal & Mechanical Inc.,220 Kalihi St,Honolulu,Hawaii,96819-3943,808-839-0909,808-836-7927,STANLEY A SALCEDO,President,,1997,"Construction (90 %),  Service (10 %)","8(a), Small Disadvantaged Business, HUBZone Certification, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5720897-AP-TECHNICAL-SERVICE.htm,AP TECHNICAL SERVICES INC,73-4175 Holu St,Kailua Kona,Hawaii,96740-9434,808-326-2722,808-326-2722,SHANNON SAGET,Owner,Subchapter S Corporation,2001,Service (100 %),"HUBZone Certification, ",,Woman Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5311968-MECHANICAL-ENTERPRISE.htm,"MECHANICAL ENTERPRISES, INC.",501 Sumner St Ste 503,Honolulu,Hawaii,96817-5304,808-591-9038 x1001,808-596-7356,ROSS S OKUDA,President,Subchapter S Corporation,2000,"Construction (50 %),  Service (50 %)","8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5304139-SPELLS-RONALD-E.htm,"SPELLS, RONALD E",91674 Kilaha St # L3,Ewa Beach,Hawaii,96706-2665,808-436-9807,808-672-4548,RONALD SPELLS,OWNER,,1989,Service (100 %),"8(a), Small Disadvantaged Business, ",,"Black American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5431418-LTM-CORPORATION.htm,"LTM, CORPORATION",99-1233 Halawa Valley St Ste B,Aiea,Hawaii,96701-3281,808-487-7094,,KLYDE MACHIDA,Contract Administrator,Subchapter S Corporation,1983,"Construction (95 %),  Service (5 %)",,,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-6003706-PERFECTO-ENGINEERIN.htm,PERFECTO ENGINEERING & CONSTRUCTION SERVICE,94-1050 Paiwa Pl,Waipahu,Hawaii,96797-3648,808-681-6618 x13,808-681-6486,JULIE ANNE TABIL,President,Corporation,1997,Construction (100 %),"8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5947144-DIAMOND-HEAD-FRAMES-LLC.htm,DIAMOND HEAD FRAMES LLC,905 Kalanianaole Hwy Spc 25,Kailua,Hawaii,96734-4654,808-262-3722,808-262-3877,JACQUES BALISH,Sales Representive,LLC,1997,"Manufacturing (80 %),  Research and Development (10 %),  Service (10 %)",,,"Asian Pacific American,  Other Minority Owned"
